exercise_id,force_id,name,force,,,Force
1,3,Horizontal Extensions,push,,1,contraction
2,2,Lat-Band Pullown,pull,,2,pull
3,2,Seated Band Rows,pull,,3,push
4,2,Bent Over Band-Rows,pull,,4,static contraction
5,2,Straight Arm Pulldowns,pull,,5,static resistance
6,2,Reverse Flyes,pull,,,
7,2,Deadlift,pull,,,
8,3,Kickbacks,push,,,
9,3,Tricep Pushdown,push,,,
10,3,Dips,push,,,
11,3,Animals,push,,,
12,3,Close Grip Push-Up Press,push,,,
13,3,Lateral Extension,push,,,
14,3,Vertical Extensions,push,,,
15,3,Overhead Extensions,push,,,
16,3,Wrapped Shoulder Extension,push,,,
17,2,Resisted Kicks,pull,,,
18,3,Military Press,push,,,
19,2,Front Raises,pull,,,
20,2,Lateral Raises,pull,,,
21,2,Upright Rows,pull,,,
22,2,Cableband Laterals,pull,,,
23,3,Skiers,push,,,
24,2,Isolation Pulls,pull,,,
25,2,Shrugs,pull,,,
26,2,Leg Liberator,pull,,,
27,2,Back Lubricator,pull,,,
28,2,Loose Arm-ony,pull,,,
29,2,Ankle Motionizer,pull,,,
30,2,Relaxalator,pull,,,
31,2,Neck Stup,pull,,,
32,2,Quad-lity,pull,,,
33,2,Wicked Chicken Wing,pull,,,
34,2,Crossband Lateral Curls,pull,,,
35,2,Bandbell Curls,pull,,,
36,2,Reverse Curls,pull,,,
37,2,Cableband Curls,pull,,,
38,3,Squats,push,,,
39,3,Leg Press,push,,,
40,3,Leg Extensions,push,,,
41,2,Good Mornings,pull,,,
42,2,Straight Leg Deadlift,pull,,,
43,2,Leg Curls,pull,,,
44,3,Calf Raises,push,,,
45,3,Hip Abductor/Adductor,push,,,
45,2,Hip Abductor/Adductor,pull,,,
46,3,Lunges,push,,,
47,2,Hammer Curls,pull,,,
48,2,Alternate Bandbell Curls,pull,,,
49,2,Concentration Curls,pull,,,
50,3,Incline Bench Press,push,,,
51,3,Decline Bench Press,push,,,
52,3,Push Up Press,push,,,
53,3,Flyes,push,,,
54,3,Pull Over,push,,,
55,3,Flat Bench Press,push,,,
56,5,Superman,static resistance,,,
57,1,Twist,contraction,,,
58,2,Woodchopper,pull,,,
59,2,Side Bend,pull,,,
60,4,Side Bridge,static contraction,,,
61,1,Obliquatory,contraction,,,
62,4,Plank,static contraction,,,
63,4,Raise,static contraction,,,
64,1,Roll,contraction,,,
65,2,Hyperextension,pull,,,
66,4,Aligner,static contraction,,,
67,1,Bicycle,contraction,,,
68,1,Crunch,contraction,,,
69,2,Squeeze,pull,,,
