exercise_id,height_id,name,ap height,,,,name,
1,5,Horizontal Extensions,head,,,1,arms,1
2,10,Lat-Band Pullown,overhead,,,2,back,2
3,13,Seated Band Rows,stomach,,,3,chest,3
4,6,Bent Over Band-Rows,knee,,,4,foot,4
5,10,Straight Arm Pulldowns,overhead,,,5,head,5
6,12,Reverse Flyes,shoulders,,,6,knee,6
7,4,Deadlift,foot,,,7,lower back,7
8,6,Kickbacks,knee,,,8,neck,8
9,10,Tricep Pushdown,overhead,,,9,none,9
10,9,Dips,none,,,10,overhead,10
11,10,Animals,overhead,,,11,shins,11
12,12,Close Grip Push-Up Press,shoulders,,,12,shoulders,12
13,10,Lateral Extension,overhead,,,13,stomach,13
14,4,Vertical Extensions,foot,,,14,variable,14
15,8,Overhead Extensions,neck,,,,,
16,12,Wrapped Shoulder Extension,shoulders,,,,,
17,11,Resisted Kicks,shins,,,,,
18,4,Military Press,foot,,,,,
19,4,Front Raises,foot,,,,,
20,4,Lateral Raises,foot,,,,,
21,4,Upright Rows,foot,,,,,
22,3,Cableband Laterals,chest,,,,,
23,6,Skiers,knee,,,,,
24,13,Isolation Pulls,stomach,,,,,
24,10,Isolation Pulls,overhead,,,,,
25,4,Shrugs,foot,,,,,
26,4,Leg Liberator,foot,,,,,
27,3,Back Lubricator,chest,,,,,
28,12,Loose Arm-ony,shoulders,,,,,
29,4,Ankle Motionizer,foot,,,,,
30,10,Relaxalator,overhead,,,,,
31,8,Neck Stup,neck,,,,,
32,4,Quad-lity,foot,,,,,
33,9,Wicked Chicken Wing,none,,,,,
34,4,Crossband Lateral Curls,foot,,,,,
35,4,Bandbell Curls,foot,,,,,
36,4,Reverse Curls,foot,,,,,
37,5,Cableband Curls,head,,,,,
38,4,Squats,foot,,,,,
39,11,Leg Press,shoulder,,,,,
40,11,Leg Extensions,shins,,,,,
41,4,Good Mornings,foot,,,,,
42,4,Straight Leg Deadlift,foot,,,,,
43,6,Leg Curls,knee,,,,,
44,4,Calf Raises,foot,,,,,
45,4,Hip Abductor/Adductor,foot,,,,,
45,11,Hip Abductor/Adductor,shins,,,,,
45,6,Hip Abductor/Adductor,knee,,,,,
46,4,Lunges,foot,,,,,
47,4,Hammer Curls,foot,,,,,
48,6,Alternate Bandbell Curls,knee,,,,,
49,11,Concentration Curls,shins,,,,,
50,7,Incline Bench Press,lower back,,,,,
51,12,Decline Bench Press,shoulders,,,,,
52,12,Push Up Press,shoulders,,,,,
53,3,Flyes,chest,,,,,
54,10,Pull Over,overhead,,,,,
55,11,Flat Bench Press,shoulder,,,,,
56,9,Superman,none,,,,,
57,3,Twist,feet,,,,,
58,10,Woodchopper,overhead,,,,,
58,4,Woodchopper,foot,,,,,
59,4,Side Bend,foot,,,,,
60,4,Side Bridge,foot,,,,,
61,9,Obliquatory,none,,,,,
62,11,Plank,shoulder,,,,,
62,4,Plank,foot,,,,,
63,4,Raise,foot,,,,,
64,9,Roll,none,,,,,
65,13,Hyperextension,stomach,,,,,
66,9,Aligner,none,,,,,
67,8,Bicycle,neck,,,,,
67,4,Bicycle,foot,,,,,
68,9,Crunch,none,,,,,
69,10,Squeeze,overhead,,,,,
