exercise_id,picture,,,,
48,exercise\alternate+curls\bw1.jpg,Alternate Bandbell Curls,,name,id
48,exercise\alternate+curls\bw2.jpg,Alternate Bandbell Curls,,Aligner,66
48,exercise\alternate+curls\bw3.jpg,Alternate Bandbell Curls,,Alternate Bandbell Curls,48
11,exercise\animals\bw1.jpg,animals,,Animals,11
11,exercise\animals\bw2.jpg,animals,,Ankle Motionizer,29
11,exercise\animals\bw3.jpg,animals,,Back Lubricator,27
29,exercise\ankle+motionizer\bw1.jpg,ankle motionizer,,Bandbell Curls,35
29,exercise\ankle+motionizer\bw2.jpg,ankle motionizer,,Bent Over Band-Rows,4
29,exercise\ankle+motionizer\bw3.jpg,ankle motionizer,,Bicycle,67
35,exercise\bandbell+curls\bw1.jpg,bandbell curls,,Cableband Curls,37
35,exercise\bandbell+curls\bw2.jpg,bandbell curls,,Cableband Laterals,22
35,exercise\bandbell+curls\bw3.jpg,bandbell curls,,Calf Raises,44
35,exercise\bandbell+curls\bw4.jpg,bandbell curls,,Close Grip Push-Up Press,12
4,exercise\bent+over+rows\bw1.jpg,Bent Over Band-Rows,,Concentration Curls,49
4,exercise\bent+over+rows\bw2.jpg,Bent Over Band-Rows,,Crossband Lateral Curls,34
4,exercise\bent+over+rows\bw3.jpg,Bent Over Band-Rows,,Crunch,68
37,exercise\cableband+curls\bw1.jpg,cableband curls,,Deadlift,7
37,exercise\cableband+curls\bw2.jpg,cableband curls,,Decline Bench Press,51
37,exercise\cableband+curls\bw3.jpg,cableband curls,,Dips,10
37,exercise\cableband+curls\bw4.jpg,cableband curls,,Flat Bench Press,55
44,exercise\calf+raises\b1.jpg,calf raises,,Flyes,53
44,exercise\calf+raises\bw2.jpg,calf raises,,Front Raises,19
44,exercise\calf+raises\bw3.jpg,calf raises,,Good Mornings,41
44,exercise\calf+raises\bw4.jpg,calf raises,,Hammer Curls,47
12,exercise\close+grip+push-ups\bw1.jpg,Close Grip Push-Up Press,,Hip Abductor/Adductor,45
49,exercise\concentration+curls\bw1.jpg,concentration curls,,Horizontal Extensions,1
49,exercise\concentration+curls\bw2.jpg,concentration curls,,Hyperextension,65
34,exercise\crossband+curls\bw1.jpg,Crossband Lateral Curls,,Incline Bench Press,50
34,exercise\crossband+curls\bw2.jpg,Crossband Lateral Curls,,Isolation Pulls,24
22,exercise\crossband+laterals\bw1.jpg,Cableband Laterals,,Kickbacks,8
22,exercise\crossband+laterals\bw2.jpg,Cableband Laterals,,Lat-Band Pulldown,2
22,exercise\crossband+laterals\bw3.jpg,Cableband Laterals,,Lateral Extension,13
22,exercise\crossband+laterals\bw4.jpg,Cableband Laterals,,Lateral Raises,20
22,exercise\crossband+laterals\bw5.jpg,Cableband Laterals,,Leg Curls,43
22,exercise\crossband+laterals\bw6.jpg,Cableband Laterals,,Leg Extensions,40
7,exercise\deadlift\bw1.jpg,deadlift,,Leg Liberator,26
7,exercise\deadlift\bw2.jpg,deadlift,,Leg Press,39
51,exercise\decline+press\bw1.jpg,Decline Bench Press,,Loose Arm-ony,28
51,exercise\decline+press\bw2.jpg,Decline Bench Press,,Lunges,46
10,exercise\dips\bw1.jpg,dips,,Military Press,18
10,exercise\dips\bw2.jpg,dips,,Neck Stup,31
55,exercise\flat+press\bw1.jpg,Flat Bench Press,,Obliquatory,61
55,exercise\flat+press\bw2.jpg,Flat Bench Press,,Overhead Extensions,15
55,exercise\flat+press\bw3.jpg,Flat Bench Press,,Plank,62
53,exercise\flyes\bw1.jpg,flyes,,Pull Over,54
53,exercise\flyes\bw3.jpg,flyes,,Push Up Press,52
53,exercise\flyes\bw4.jpg,flyes,,Quad-lity,32
53,exercise\flyes\bw5.jpg,flyes,,Raise,63
19,exercise\front+raise\bw1.jpg,front raises,,Relaxalator,30
19,exercise\front+raise\bw2.jpg,front raises,,Resisted Kicks,17
19,exercise\front+raise\bw3.jpg,front raises,,Reverse Curls,36
19,exercise\front+raise\bw4.jpg,front raises,,Reverse Flyes,6
19,exercise\front+raise\bw5.jpg,front raises,,Roll,64
19,exercise\front+raise\bw6.jpg,front raises,,Seated Band Rows,3
41,exercise\good+mornings\b1.jpg,good mornings,,Shrugs,25
41,exercise\good+mornings\bw2.jpg,good mornings,,Side Bend,59
47,exercise\hammer+curls\bw1.jpg,hammer curls,,Side Bridge,60
47,exercise\hammer+curls\bw2.jpg,hammer curls,,Skiers,23
47,exercise\hammer+curls\bw3.jpg,hammer curls,,Squats,38
45,exercise\hip+abductor_adductor\bw1.jpg,Hip Abductor/Adductor,,Squeeze,69
45,exercise\hip+abductor_adductor\bw2.jpg,Hip Abductor/Adductor,,Straight Arm Pulldowns,5
45,exercise\hip+abductor_adductor\bw3.jpg,Hip Abductor/Adductor,,Straight Leg Deadlift,42
45,exercise\hip+abductor_adductor\bw4.jpg,Hip Abductor/Adductor,,Superman,56
1,exercise\horzontal+extensions\bw1.jpg,horizontal extensions,,Tricep Pushdown,9
1,exercise\horzontal+extensions\bw2.jpg,horizontal extensions,,Twist,57
50,exercise\incline+press\bw1.jpg,incline bench press,,Upright Rows,21
50,exercise\incline+press\bw2.jpg,incline bench press,,Vertical Extensions,14
24,exercise\isolations+rotations\bw1.jpg,Isolation Pulls,,Wicked Chicken Wing,33
24,exercise\isolations+rotations\bw2.jpg,Isolation Pulls,,Woodchopper,58
24,exercise\isolations+rotations\bw3.jpg,Isolation Pulls,,Wrapped Shoulder Extension,16
24,exercise\isolations+rotations\bw4.jpg,Isolation Pulls,,,
24,exercise\isolations+rotations\bw5.jpg,Isolation Pulls,,,
24,exercise\isolations+rotations\bw6.jpg,Isolation Pulls,,,
24,exercise\isolations+rotations\bw7.jpg,Isolation Pulls,,,
24,exercise\isolations+rotations\bw8.jpg,Isolation Pulls,,,
24,exercise\isolations+rotations\bw9.jpg,Isolation Pulls,,,
8,exercise\kickbacks\bw1.jpg,kickbacks,,,
8,exercise\kickbacks\bw2.jpg,kickbacks,,,
8,exercise\kickbacks\bw3.jpg,kickbacks,,,
8,exercise\kickbacks\bw4.jpg,kickbacks,,,
8,exercise\kickbacks\bw5.jpg,kickbacks,,,
8,exercise\kickbacks\bw6.jpg,kickbacks,,,
2,exercise\lat+pulldown\bw1.jpg,Lat-Band Pulldown,,,
2,exercise\lat+pulldown\bw2.jpg,Lat-Band Pulldown,,,
2,exercise\lat+pulldown\bw3.jpg,Lat-Band Pulldown,,,
2,exercise\lat+pulldown\bw4.jpg,Lat-Band Pulldown,,,
13,exercise\lateral+extensions\bw1.jpg,lateral extension,,,
13,exercise\lateral+extensions\bw2.jpg,lateral extension,,,
13,exercise\lateral+extensions\bw3.jpg,lateral extension,,,
20,exercise\lateral+raise\bw1.jpg,lateral raises,,,
20,exercise\lateral+raise\bw2.jpg,lateral raises,,,
20,exercise\lateral+raise\bw3.jpg,lateral raises,,,
43,exercise\leg+curls\bw1.jpg,leg curls,,,
