exercise_id,post_id,name,post,,,,location
1,6,Horizontal Extensions,rear,,,1,around back
1,5,Horizontal Extensions,overhead,,,2,front
2,5,Lat-Band Pullown,overhead,,,3,low
3,2,Seated Band Rows,front,,,4,none
4,2,Bent Over Band-Rows,front,,,5,overhead
5,5,Straight Arm Pulldowns,overhead,,,6,rear
6,2,Reverse Flyes,front,,,7,shoulders
7,3,Deadlift,low,,,8,side
8,2,Kickbacks,front,,,9,side
9,2,Tricep Pushdown,front,,,10,variable
10,7,Dips,shoulders,,,,
11,6,Animals,rear,,,,
12,1,Close Grip Push-Up Press,around back,,,,
13,5,Lateral Extension,overhead,,,,
14,6,Vertical Extensions,rear,,,,
15,6,Overhead Extensions,rear,,,,
16,6,Wrapped Shoulder Extension,rear,,,,
17,2,Resisted Kicks,front,,,,
17,6,Resisted Kicks,rear,,,,
17,9,Resisted Kicks,side,,,,
18,3,Military Press,low,,,,
19,3,Front Raises,low,,,,
20,3,Lateral Raises,low,,,,
21,3,Upright Rows,low,,,,
22,9,Cableband Laterals,side,,,,
23,2,Skiers,front,,,,
24,9,Isolation Pulls,side,,,,
24,2,Isolation Pulls,front,,,,
24,6,Isolation Pulls,rear,,,,
25,3,Shrugs,low,,,,
26,4,Leg Liberator,none,,,,
27,2,Back Lubricator,front,,,,
28,9,Loose Arm-ony,side,,,,
29,10,Ankle Motionizer,variable,,,,
30,2,Relaxalator,front,,,,
31,4,Neck Stup,none,,,,
32,4,Quad-lity,none,,,,
33,4,Wicked Chicken Wing,none,,,,
34,3,Crossband Lateral Curls,low,,,,
35,3,Bandbell Curls,low,,,,
36,3,Reverse Curls,low,,,,
37,9,Cableband Curls,side,,,,
37,2,Cableband Curls,front,,,,
38,3,Squats,low,,,,
39,6,Leg Press,rear,,,,
40,6,Leg Extensions,rear,,,,
41,3,Good Mornings,low,,,,
42,3,Straight Leg Deadlift,low,,,,
43,6,Leg Curls,rear,,,,
44,3,Calf Raises,low,,,,
45,10,Hip Abductor/Adductor,variable,,,,
46,3,Lunges,low,,,,
47,3,Hammer Curls,low,,,,
48,2,Alternate Bandbell Curls,front,,,,
49,2,Concentration Curls,front,,,,
50,6,Incline Bench Press,rear,,,,
51,6,Decline Bench Press,rear,,,,
52,6,Push Up Press,rear,,,,
53,6,Flyes,rear,,,,
54,6,Pull Over,rear,,,,
54,5,Pull Over,overhead,,,,
55,6,Flat Bench Press,rear,,,,
56,4,Superman,none,,,,
57,2,Twist,front,,,,
58,9,Woodchopper,side,,,,
59,3,Side Bend,low,,,,
59,9,Side Bend,side,,,,
60,4,Side Bridge,none,,,,
61,4,Obliquatory,none,,,,
62,4,Plank,none,,,,
63,4,Raise,none,,,,
64,4,Roll,none,,,,
65,2,Hyperextension,front,,,,
66,4,Aligner,none,,,,
67,6,Bicycle,rear,,,,
68,4,Crunch,none,,,,
69,2,Squeeze,front,,,,
