name;description
Horizontal Extensions;Grasping the bar or band in front of your forehead, push forward in a semi-circular arch until your arms are fully extended in front of you.
Lat-Band Pullown;With arms extended up, squeeze your shoulder blades together and slowly pull the band down towards your chest until your elbows are fully bent.
Seated Band Rows;With your arms extended forward, squeeze your shoulder blades together as you pull the band back as far as you can toward your stomach.
Bent Over Band-Rows;Wrap one band around elevated foot or front post, bend over slightly at the hips and grasp an end in each hand. Pull the band toward your abdomen.
Straight Arm Pulldowns;With arms extended up and hands about shoulder width apart, pull the bar/band down toward your waist.
Reverse Flyes;With arms extended forward, pull your arms back in a circular motion as far as you can.
Deadlift;In a bent-over position with palms facing your body, pull yourself up with your core and raise your chest until you are in an upright position. Keep arms by your side and back straight. Slowly lower torso back to starting position by pulling your hips back and keeping your shoulders over your ankles.
Kickbacks;In a bent-over position with your elbows bent at a 90° angle, pull the band(s) back until your arms are fully extended behind you.
Tricep Pushdown;With elbows planted by your sides, push the band down and fully extend your arms. Pause and flex your triceps briefly at the bottom before returning to starting position.
Dips;Place two chairs of equal height across from each other about 3-5ft (1-1.5 m) apart. Place your hands shoulder-width apart behind you on one chair and maintain your balance as you prop your feet up on the other chair. Slowly lower your body until you descend to a 90° bend in your arms, and then push yourself back up to starting position.
Animals;Grasp the bar/band with your hands shoulder-width apart and bend over at the hips so that your head is under the A.P. While maintaining your arms locked in a 90º angle, pull the bar down in a circular path in front of your body.
Close Grip Push-Up Press;Position yourself in push-up position with hands closer to your body in order to isolate your triceps. Twist a band over, creating an X, and wrap it around your back. Start by lying flat on your stomach with your hands just under your pecs. Push yourself up to a full arm extension.
Lateral Extension;Grasp band with arms bent and palms facing out. Bend over slightly at the hips and push the band down laterally away from your body in a semi-circular arch while keeping your upper arms still. 
Vertical Extensions;Stabilize bands as close to your heels as possible. Grasp the bands behind your head with elbows bent and push the bands up through a semi-circular arch to a full arm extension.
Overhead Extensions;Begin in a bent over position with feet staggered and legs hip-width apart. Push the band forward in a horizontal line above your head to a full arm extension.
Wrapped Shoulder Extension;Wrap one band around your back and under your shoulder blades. Grasp an end in each hand. With elbows bent, extend your arms as you push the ends forward.
Resisted Kicks;With the band taut and your leg extended slightly forward, squeeze your glutes and kick your leg backwards. Repeat with the other leg.
Military Press;Stabilize one band under each foot with the ends close to your heels. With arms out laterally and elbows bent at 90°, push up until your arms are extended above your head.
Front Raises;With arms slightly bent by your side, alternate raising each arm up in front of you or raise both arms up simultaneously. Hold briefly at the point of maximum resistance before returning back to starting position.
Lateral Raises;With arms slightly bent by your side, alternate raising each arm out laterally or raise both arms up simultaneously. Hold briefly at the point of maximum resistance before returning back to starting position.
Upright Rows;Stabilize one band under both feet, forming a triangle with the band. With your hands close together, raise the band up from your waist toward your chin, keeping hands close to your body
Cableband Laterals;Grasp the band with your arm extended across your body and pull the band across yourself until your arm is extended out to the side. Slowly return to starting position while keeping the band taut.
Skiers;With your arms extended forward, pull your arms back as far as you can. Hold briefly at the point of maximum resistance before returning to starting position.
Isolation Pulls;Start with your shoulder facing the A.P. and your elbow bent at 90° by your side. Pull the band horizontally across your body. Then turn around and pull the band across your body in the opposite direction using the same hand. Alternate sides when finished.
Shrugs;With your arms by your sides, raise your shoulders as high as you can. Hold the contraction for several seconds at the top, and then slowly lower your arms back to starting position.
Leg Liberator;Keeping your left leg straight, slowly pull it forward toward your head. Every time your leg advances, hold it briefly until your body readjusts before pulling further. After slowly pulling your leg forward to the farthest point possible, pull it to the left side using the same technique. Then grasp the band with your right hand and slowly pull your left leg across to your right side.
Back Lubricator;Keep your feet planted and slowly bow down, drop your buttocks and extend your arms forward. Unlock your hip joints and feel the stretch in your lower back. Slowly wiggle your buttocks from side to side to stretch your entire lower back region. 
