exercise_id;name;variation
1;Horizontal Extensions;Wrap one band around an overhead post and assume a bent-over position with the A.P. directly above your head.
2;Lat-Band Pullown;Explore your range of grip options: wide or close grip combined with either overhand or underhand holds.
2;Lat-Band Pullown;Lean forward and pull the bands down behind your head.
2;Lat-Band Pullown;Lean back and pull the bands down toward your chest.
2;Lat-Band Pullown;No A.P: grasp one side of a band in both hands with arms extended above head and pull your arms down laterally as you stretch the band.
3;Seated Band Rows;Pull one arm back at a time or both simultaneously.
3;Seated Band Rows;Insert a bar for different grip combinations (close/wide and overhand/underhand).
3;Seated Band Rows;Use two bands to lower the resistance- either around each foot or interlocked at their midpoints.
4;Bent Over Band-Rows;Use a different front post.
5;Straight Arm Pulldowns;Explore different grip options.
5;Straight Arm Pulldowns;Interlock bands at their midpoints when using a high overhead post to lower resistance.
6;Reverse Flyes;Use a lower A.P. and pull the band back at a slightly upward angle.
6;Reverse Flyes;Use a higher A.P. and pull the band back at a slightly downward angle.
6;Reverse Flyes;No A.P: Grasp one band in both hands. Starting with hands close together, replicate the same movement by pulling your arms back and hands apart as if trying to touch your elbows together behind your back.
7;Deadlift;Keep legs completely straight for the STRAIGHT LEG DEADLIFT(http://www.youtube.com/watch?v=XkI78H4vthg), to exercise hamstring and glute muscles. Refer to Legs Section(http://www.youtube.com/playlist?list=PL7A16C061DB75C6CB).
8;Kickbacks;Wrap one band around a front post for higher resistance.
8;Kickbacks;Alternate one arm at a time to isolate each side.
9;Tricep Pushdown;Wrap band over the top of an open door positioned perpendicular to your body.
9;Tricep Pushdown;Experiment with different grip options: underhand grip will engage forearms.
9;Tricep Pushdown;Turn your back to face away from the A.P.
10;Dips;Cross feet at ankles to minimize leg movement.
10;Dips;If you don't have two chairs of the same height, use any two stationary objects (i.e. bench/table/bed). Rest feet on the higher stationary object for an extra challenge.
11;Animals;If using a high overhead post interlock two bands at their midpoints.
12;Close Grip Push-Up Press;Place knees on the ground and form a triangle between your torso, arms and the floor.
12;Close Grip Push-Up Press;Position your hands closer together for a challenge.
12;Close Grip Push-Up Press;Hold yourself up in a motionless position, with your body off the ground for an added challenge (static resistance training).
13;Lateral Extension;Face palms toward your body to engage forearms.
14;Vertical Extensions;Sit up on your knees and wrap a band around your shins.
14;Vertical Extensions;No A.P. - grasp one end of a band behind you with your elbow pointed upward. Grasp the middle of the same band with your opposite hand behind your back. Extend your upper arm up while securing the band in place with the opposite hand.
14;Vertical Extensions;Position elbows out laterally from your body or pointed in front of you.
15;Overhead Extensions;Use an overhand/underhand or wide/narrow grip.
15;Overhead Extensions;Interlock two bands at their midpoints or fasten two bands to a rear post.
16;Wrapped Shoulder Extension;Move elbows inwards or outwards.
17;Resisted Kicks;Face the opposite direction and kick your leg forward.
17;Resisted Kicks;ABDUCTOR: Turn 45° so that band is attached to your outside leg (farthest from A.P.). Kick your leg out laterally toward the opposite side.
17;Resisted Kicks;ADDUCTOR: Attach band to your inside leg (closest to A.P.). Kick your leg laterally across the body until it is fully extended to the opposite side.
17;Resisted Kicks;SEATED ABDUCTOR or ADDUCTOR: Perform from a seated position on the floor. Keep legs straight and push from ankle for every variation.
18;Military Press;Lift one band at a time, moving arms in opposition to isolate each deltoid.
18;Military Press;Seated: Fasten two bands on either side of you or wrap one band under a low post.
18;Military Press;Raise bands in a straight line behind your head to engage trap muscles.
19;Front Raises;Raise arms simultaneously or alternate arms, raising one arm while lowering the other (arms should pass each other at the halfway point).
19;Front Raises;Stabilize one band under both feet.
