exercise_id,location,name,location,http://www.youtube.com/watch?v=
1,http://www.youtube.com/watch?v=ynTbPnbtajQ,Horizontal Extensions,ynTbPnbtajQ,
2,http://www.youtube.com/watch?v=BAyohbHFCE0,Lat-Band Pullown,BAyohbHFCE0,
3,http://www.youtube.com/watch?v=PwSbB0uQ2DM,Seated Band Rows,PwSbB0uQ2DM,
4,http://www.youtube.com/watch?v=EItAHPE6OC0,Bent Over Band-Rows,EItAHPE6OC0,
5,http://www.youtube.com/watch?v=_acW_m7NJiI,Straight Arm Pulldowns,_acW_m7NJiI,
6,http://www.youtube.com/watch?v=aPnR2b7uieE,Reverse Flyes,aPnR2b7uieE,
7,http://www.youtube.com/watch?v=XbmlMh4PB6I,Deadlift,XbmlMh4PB6I,
8,http://www.youtube.com/watch?v=LzqmKVhS5ro,Kickbacks,LzqmKVhS5ro,
9,http://www.youtube.com/watch?v=UxhfbHudX9w,Tricep Pushdown,UxhfbHudX9w,
10,http://www.youtube.com/watch?v=IkQcD8qGIoQ,Dips,IkQcD8qGIoQ,
11,http://www.youtube.com/watch?v=c2klQ_Q0RVY,Animals,c2klQ_Q0RVY,
12,http://www.youtube.com/watch?v=O3WpcgiY5hc,Close Grip Push-Up Press,O3WpcgiY5hc,
13,http://www.youtube.com/watch?v=uxH1UXqkQzM,Lateral Extension,uxH1UXqkQzM,
14,http://www.youtube.com/watch?v=0fAaUD4KKQw,Vertical Extensions,0fAaUD4KKQw,
15,http://www.youtube.com/watch?v=vYkyPZ-9h-s,Overhead Extensions,vYkyPZ-9h-s,
16,http://www.youtube.com/watch?v=ZYzHQay4FyQ,Wrapped Shoulder Extension,ZYzHQay4FyQ,
17,http://www.youtube.com/watch?v=K8aKQv8i0_s,Resisted Kicks,K8aKQv8i0_s,
18,http://www.youtube.com/watch?v=DDIV3c85Sgw,Military Press,DDIV3c85Sgw,
19,http://www.youtube.com/watch?v=_KPCJTDvfik,Front Raises,_KPCJTDvfik,
20,http://www.youtube.com/watch?v=6wSnznVcLqk,Lateral Raises,6wSnznVcLqk,
21,http://www.youtube.com/watch?v=iujpzeXv8bA,Upright Rows,iujpzeXv8bA,
22,http://www.youtube.com/watch?v=nFK_IvsUzGo,Cableband Laterals,nFK_IvsUzGo,
23,http://www.youtube.com/watch?v=jn-Dx_0nDiM,Skiers,jn-Dx_0nDiM,
24,http://www.youtube.com/watch?v=Y37anQbWucc,Isolation Pulls,Y37anQbWucc,
25,http://www.youtube.com/watch?v=8cwLiCffp38,Shrugs,8cwLiCffp38,
26,http://www.youtube.com/watch?v=l_9PLZKsIUE,Leg Liberator,l_9PLZKsIUE,
27,http://www.youtube.com/watch?v=0h4kbvrnd8k,Back Lubricator,0h4kbvrnd8k,
28,http://www.youtube.com/watch?v=pd7HDecjuow,Loose Arm-ony,pd7HDecjuow,
29,http://www.youtube.com/watch?v=r-vqHKQFzM0,Ankle Motionizer,r-vqHKQFzM0,
30,http://www.youtube.com/watch?v=4f3XWRXA8ag,Relaxalator,4f3XWRXA8ag,
31,http://www.youtube.com/watch?v=INGyunzH_2g,Neck Stup,INGyunzH_2g,
32,http://www.youtube.com/watch?v=8iSus5i9aBg,Quad-lity,8iSus5i9aBg,
33,http://www.youtube.com/watch?v=zTlH-rNMlBo,Wicked Chicken Wing,zTlH-rNMlBo,
34,http://www.youtube.com/watch?v=XhC_rDhQTL8,Crossband Lateral Curls,XhC_rDhQTL8,
35,http://www.youtube.com/watch?v=ylHiRzbJM6Q,Bandbell Curls,ylHiRzbJM6Q,
36,http://www.youtube.com/watch?v=NcN14OAmkWc,Reverse Curls,NcN14OAmkWc,
37,http://www.youtube.com/watch?v=IcWg5YauVJE,Cableband Curls,IcWg5YauVJE,
38,http://www.youtube.com/watch?v=UzXF-YK0lQ4,Squats,UzXF-YK0lQ4,
39,http://www.youtube.com/watch?v=w_CNpQYXXwI,Leg Press,w_CNpQYXXwI,
40,http://www.youtube.com/watch?v=cXzRtwpl1N4,Leg Extensions,cXzRtwpl1N4,
41,http://www.youtube.com/watch?v=mMsfqVat-gw,Good Mornings,mMsfqVat-gw,
42,http://www.youtube.com/watch?v=XkI78H4vthg,Straight Leg Deadlift,XkI78H4vthg,
43,http://www.youtube.com/watch?v=BoGRTFmAk-s,Leg Curls,BoGRTFmAk-s,
44,http://www.youtube.com/watch?v=0Vx40ORa6Tg,Calf Raises,0Vx40ORa6Tg,
45,http://www.youtube.com/watch?v=rUCGRUn1fjw,Hip Abductor/Adductor,rUCGRUn1fjw,
46,http://www.youtube.com/watch?v=t62qo5xzn8Y,Lunges,t62qo5xzn8Y,
47,http://www.youtube.com/watch?v=Uep0X2Myt9w,Hammer Curls,Uep0X2Myt9w,
48,http://www.youtube.com/watch?v=F8L_Brnh2Yo,Alternate Bandbell Curls,F8L_Brnh2Yo,
49,http://www.youtube.com/watch?v=iamLan3cu9I,Concentration Curls,iamLan3cu9I,
50,http://www.youtube.com/watch?v=2vs880O_0KU,Incline Bench Press,2vs880O_0KU,
51,http://www.youtube.com/watch?v=UitTJ93-pfE,Decline Bench Press,UitTJ93-pfE,
52,http://www.youtube.com/watch?v=MExNxyMjxzI,Push Up Press,MExNxyMjxzI,
